,VAR_NAME,VAR_DESCR
80,COSZEN,"<class 'netCDF4.Variable'>
float32 COSZEN(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: COS of SOLAR ZENITH ANGLE
    units: dimensionless
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
81,LAI,"<class 'netCDF4.Variable'>
float32 LAI(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: LEAF AREA INDEX
    units: m-2/m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
82,VAR,"<class 'netCDF4.Variable'>
float32 VAR(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: STANDARD DEVIATION OF SUBGRID-SCALE OROGRAPHY
    units: m
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
83,VARLS,"<class 'netCDF4.Variable'>
float32 VARLS(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: STANDARD DEVIATION of 2.5min-resolution topography
    units: m
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
84,CONLS,"<class 'netCDF4.Variable'>
float32 CONLS(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: OROGRAPHIC CONVEXITY of 2.5min-resolution topography
    units: 
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
85,OA1LS,"<class 'netCDF4.Variable'>
float32 OA1LS(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: OROGRAPHIC ASYMMETRY in West direction from 2.5min-resolution topography
    units: 
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
86,OA2LS,"<class 'netCDF4.Variable'>
float32 OA2LS(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: OROGRAPHIC ASYMMETRY in South direction from 2.5min-resolution topography
    units: 
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
87,OA3LS,"<class 'netCDF4.Variable'>
float32 OA3LS(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: OROGRAPHIC ASYMMETRY in South-West direction from 2.5min-resolution topography
    units: 
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
88,OA4LS,"<class 'netCDF4.Variable'>
float32 OA4LS(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: OROGRAPHIC ASYMMETRY in North-West direction from 2.5min-resolution topography
    units: 
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
89,OL1LS,"<class 'netCDF4.Variable'>
float32 OL1LS(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: OROGRAPHIC EFFECTIVE LENGTH for Westerly flow from 2.5min-resolution topography
    units: 
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
90,OL2LS,"<class 'netCDF4.Variable'>
float32 OL2LS(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: OROGRAPHIC EFFECTIVE LENGTH for Southerly flow from 2.5min-resolution topography
    units: 
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
91,OL3LS,"<class 'netCDF4.Variable'>
float32 OL3LS(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: OROGRAPHIC EFFECTIVE LENGTH for South-Westerly flow from 2.5min-resolution topog
    units: 
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
92,OL4LS,"<class 'netCDF4.Variable'>
float32 OL4LS(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: OROGRAPHIC EFFECTIVE LENGTH for North-Westerly flow from 2.5min-resolution topog
    units: 
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
93,VARSS,"<class 'netCDF4.Variable'>
float32 VARSS(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: STANDARD DEVIATION of 30sec-resolution topography
    units: m
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
94,CONSS,"<class 'netCDF4.Variable'>
float32 CONSS(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: OROGRAPHIC CONVEXITY of 30sec-resolution topography
    units: 
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
